"first_name","last_name","gender","birth_date","ethnicity","SSN","med_number","state","city","address","zip","id"
"Nathan","Cordova","female","11/09/1946","Asian",255383175,6358029309,"Nevada","Falanolzace","899 Casjole Grove",68085,848
"Luke","Quick","female","5/28/1952","Asian",125087187,6427424655,"Pennsylvania","Gitopupriwa","499 Pihtowi Center",86488,157
"Jodi","Baldino","female","1/22/1971","Asian",516395786,5981030723,"Georgia","Gupoowekuro","196 Pipafof Way",65928,980
"Guled","Shen","male","4/15/1948","Pacific Islander",143355093,7285462698,"New Jersey","Fawwelcoja","682 Purima Junction",14597,225
"Viarlenny","Picazzo Banuelos","male","10/08/1941","Black",264896375,2283441837,"South Carolina","Hovruhmij","794 Ruwatibi Plaza",15605,598
"Alyce","Dominguez","female","07/07/2005","Pacific Islander",574179851,3540154617,"Kansas","Retuarekzani","1315 Dawoobot Way",46591,927
"Ka","Vaughn","female","06/02/1975","Asian",592343571,5868299813,"Nebraska","Bajovadbako","1103 Safupew Street",17235,378
"Michael","Garcia-Covarrubias","male","4/18/2008","Pacific Islander",382497479,3545866008,"South Carolina","Sejoagidode","1374 Cusbizi Junction",45486,492
"Richard","Smith","male","1/17/1992","Native American",516175709,2526321938,"Georgia","Utibojiukij","1971 Titveki Way",22699,807
"Diana","Mendez Villa","male","6/13/1959","Black",442360922,4571582860,"Washington","Emidezepuh","1386 Vezajolo Path",16256,331
"Olivia","Atkinson","male","11/09/1959","Pacific Islander",600416741,8858477696,"Oregon","Dosecepamefu","243 Lirkin Key",24328,850
"Suwannee","Chi","male","12/18/2015","Pacific Islander",406140464,4500893740,"Delaware","Micvupmodi","341 Ganogun River",22237,406
"Precha","Mcconnell","female","09/03/1937","Asian",527061963,8322744361,"Wisconsin","Sewarujiari","1570 Kuwoujup Ridge",35708,584
"Sara","Locks","female","11/06/1983","Asian",999468488,1750809934,"North Dakota","Pujecubmamu","1888 Lojepel Turnpike",31791,855
"Kindra","Leake","female","10/26/1927","Native American",875069747,3080490249,"Utah","Tubatowauwas","1934 Wonoasa Pass",77653,220
"Chelsea","Cabral Chavez","female","3/19/1990","Pacific Islander",273297149,7674328037,"Illinois","Tissalziwu","941 Huroara Pike",69094,866
"Edgar","Deguzman","male","12/19/1921","Black",848071656,1386236600,"Pennsylvania","Momtahzuma","363 Rikzebe River",33280,992
"Jeffrey","Lewis","male","3/13/1923","Asian",663933154,2344266945,"California","Ujubmansuwu","416 Milieha Mill",77973,268
"Manuel","Martinez","female","11/10/1945","Black",922601327,7555547329,"Minnesota","Ribuifelog","1168 Vucvir Place",74957,664
